Device:
    Device: SA40060.20190715
    Instrument: PPMS2
    Computer: LLABWORKSTATION
    User: Aaron Greenberg
    Description: SA40060I	Thermal Decay 300-275-300

Wiring:
    Electrode 1: Lockin 1, I+, KH 1: Differential, 10x, 50k Ohms
    Electrode 2: Lockin 2, V1+, KH 2: SE+ (-gnd), 10x, Open
    Electrode 3: Lockin 3, V1-, KH 3: SE+ (-gnd), 10x, Open
    Electrode 4: Lockin 4, I-, KH 4: Differential, 10x, 50k Ohms
    Electrode 27: Lockin 5, , KH 5: Ground, 10x, Open
    Electrode 28: Lockin 6, , KH 6: Ground, 10x, Open
    Electrode 28: Lockin 8, , KH 8: Ground, 10x, Open
    Electrode 27: Vbg
    Electrode 27: 
	
Experiment: 
    Thermal Decay

Lockin: 
    AO 1: amp = 5.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 2: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 3: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 4: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 5: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 6: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 7: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 8: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
	
    Lockin 1: f = 13.00 Hz, phi = 0.00° 
    Lockin 2: f = 26.00 Hz, phi = 0.00° 
	
    TC = 100.00 ms, order = 2

    Fs = 6500.00 S/s, N = 500 S
				
time (s)	Temperature (mK)	Bfield (T)	X1	Y1	R2T	X2	Y2	R4T
3.646060256032152E+9	298.962300000000030E+0	-1.479864772409201E-6	-349.881821871469850E-12	-1.810783720795326E-9	244.632212247860130E-6	-737.168990367164430E-6	166.151806441088430E-6	-151.375201225048240E-6	30.427149296412043E-12	2.520995622202750E-12	255.300661602471120E-9	-385.399851379030920E-9	918.295648349912540E-9	285.339889509364490E-9	63.036861885973366E-12	-12.546867013001333E-12	17.124276848235045E-6	-91.789723562566957E-6	9.963304727266069E-6	-83.337971427670108E-6	4.619852550789647E-12	-362.910327056956100E-15	208.842796552996060E-9	-366.281444307759810E-9	-252.089808317184000E-9	-1.136280043830732E-6	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	164.326928930854470E+6	2.579288813494798E+6
3.646060258600552E+9	298.982800000000000E+0	-1.479864772409201E-6	-366.847319513955480E-12	-1.786832167936141E-9	283.041866405271410E-6	-681.566192067491890E-6	207.612773244813590E-6	-99.081169874623004E-6	25.546991047265659E-12	3.929338314309870E-12	-40.158083229442655E-9	-211.872203598606760E-9	977.311443085762140E-9	-629.054855433599100E-9	55.877968969265085E-12	40.096977417284213E-12	81.624743655485597E-6	-60.077512250654960E-6	70.130214673461971E-6	-59.102611256743691E-6	2.313894726038025E-12	375.172695297180190E-15	-14.337506083640974E-9	71.692442249759119E-9	188.274863901648240E-9	-24.199512960154037E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	195.717765381812330E+6	2.952562711628270E+6
3.646060261141027E+9	299.019299999999990E+0	-1.479864772409201E-6	-496.881402008084520E-12	-1.853446038696905E-9	-22.255190713846255E-6	-422.124294181892620E-6	-35.696817423016175E-6	169.445995708458500E-6	20.556329810338400E-12	-3.215397175373904E-12	28.481871609696319E-9	89.920143502261397E-9	592.549953989851160E-9	2.016899606842985E-6	66.746692530207759E-12	-72.773038780983887E-12	-85.562501451552718E-6	-115.386664459121390E-6	-79.419854899949924E-6	-96.194038576324028E-6	3.332338774885328E-12	-3.338809908142267E-12	225.921963442125440E-9	251.103940338828710E-9	-830.335575374480570E-9	274.057887486752740E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	243.234081479143680E+6	653.892345238093990E+3
3.646060264456395E+9	299.066100000000010E+0	-1.479864772409201E-6	-407.927336729544780E-12	-1.829454903030183E-9	108.982078292354280E-6	-659.315433887179710E-6	41.090969527063194E-6	-56.955858449128419E-6	23.222740701585773E-12	273.665318572001840E-15	-491.952717356686330E-9	267.087187562782990E-9	219.447293559257760E-9	1.501843418516812E-6	-14.805641618661863E-12	9.539559879260671E-12	15.540994612211449E-6	24.698440638884978E-6	15.316040267295510E-6	20.501942591239093E-6	220.557329325407840E-15	806.047761502968880E-15	-305.487811310997110E-9	-414.088816004277960E-9	-186.008447693028900E-9	1.120106659514129E-6	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	215.306197672808410E+6	2.923475296809180E+6
3.646060267040178E+9	299.104899999999990E+0	-1.479864772409201E-6	-352.840159695917380E-12	-1.788801959211832E-9	262.162133917219090E-6	-795.119971493043940E-6	158.919079917253870E-6	-191.363349009075250E-6	28.062395124911220E-12	4.417418421447063E-12	-238.968454062929660E-9	264.680392652446560E-9	306.752374532257030E-9	811.976281648758900E-9	92.841804775994218E-12	20.215985624635553E-12	52.367559166286016E-6	-129.175997830395870E-6	38.224751955149140E-6	-117.307480956450740E-6	7.937520789408186E-12	4.499563337955343E-12	408.708437949742630E-9	-396.094472385091690E-9	596.621060478447820E-9	-621.051384355225190E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	178.174385249157100E+6	3.679053535537866E+6
3.646060269282483E+9	299.146599999999980E+0	-1.479864772409201E-6	-372.281426190910510E-12	-1.861294725345038E-9	114.510779285726040E-6	-757.885507077174110E-6	42.290065680128250E-6	-151.841953657356830E-6	24.895099828787874E-12	-1.006033075483831E-12	283.337307393040670E-9	115.262117330164620E-9	1.055109221139185E-6	-294.270286673354590E-9	-19.948531870055925E-12	-33.034397746561373E-12	-56.300596738027759E-6	5.952141330942659E-6	-50.020526387758318E-6	8.603880212084908E-6	650.731833733946380E-15	-5.024216768302501E-12	-154.606305433197240E-9	459.298968105590820E-9	20.755330585393296E-9	-1.058424728460712E-6	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	200.842737502027000E+6	2.901001164979629E+6
3.646060271516568E+9	299.189799999999990E+0	-1.479864772409201E-6	-383.177431630725310E-12	-1.819553723102847E-9	162.392129058589850E-6	-739.099479335327840E-6	77.197106484146140E-6	-132.125855216161290E-6	26.225771419763627E-12	3.351271429888906E-12	-316.093983225875590E-9	483.374990169835100E-9	23.792502780873139E-9	251.280342349232460E-9	61.426655225504934E-12	1.799621373660802E-12	14.156089643445803E-6	-90.120436011227473E-6	6.360018109894431E-6	-80.439481620335905E-6	2.968832923877298E-12	214.308145917092220E-15	-517.867796926028100E-9	72.367059360703810E-9	-1.313291442605434E-6	-1.141047364556207E-6	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	190.652161187984050E+6	3.248523035255356E+6
3.646060273362903E+9	299.239199999999980E+0	-1.479864772409201E-6	-331.073871224488230E-12	-1.896183165187214E-9	-23.950115024596591E-6	-920.954469197592000E-6	-105.178263345354870E-6	-269.452725577854900E-6	30.102096826593792E-12	-3.891258938389933E-12	257.258179077611380E-9	-143.777352990420340E-9	-2.203861846177871E-6	1.716618991907380E-6	-86.440229174512411E-12	-72.073667267329322E-12	-127.244004333946680E-6	107.000592559322070E-6	-106.724859652576450E-6	102.597358222588640E-6	-6.116925087606802E-12	-3.914685792992503E-12	331.154596129012750E-9	313.709804846864760E-9	14.109682583307475E-9	101.265617326630490E-9	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	166.101385853716820E+6	2.698421601281842E+6
3.646060275664100E+9	299.288999999999990E+0	-1.479864772409201E-6	-404.588120393617560E-12	-1.834061627130148E-9	108.120189345788550E-6	-678.042379003613120E-6	37.760530202079382E-6	-74.291599249189506E-6	19.095907490715748E-12	82.403750738242592E-15	104.840793504720230E-9	-36.356350662339448E-9	-1.905049935500538E-6	1.351424382950707E-6	22.493839853455194E-12	13.371970052294324E-12	25.988826011429323E-6	-31.714696582188485E-6	20.468926431019967E-6	-29.839414258044152E-6	1.642813256330244E-12	3.107493929869955E-12	-249.734212652145200E-9	186.078403116029630E-9	-784.351858072006930E-9	-1.170249913113408E-6	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	261.836207702145280E+6	3.684541265080875E+6
3.646060277988201E+9	299.343599999999980E+0	-1.479864772409201E-6	-413.242655770787370E-12	-1.844751111232234E-9	76.961808649580210E-6	-663.545213135359820E-6	13.107763042351097E-6	-55.947289999201199E-6	24.338282517339070E-12	-2.186009556927834E-12	115.718980989970130E-9	267.658989195028370E-9	-2.349959732406679E-6	-1.230302114429130E-6	9.618841559145627E-12	-587.166847113958470E-15	2.783079753378551E-6	-11.896694164654393E-6	1.565929255786065E-6	-10.828124699976380E-6	622.262755970003290E-15	338.978742525014140E-15	202.764693356646980E-9	514.229867130079290E-9	637.527404860926320E-9	1.659072010084895E-6	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	0.000000000000000E+0	205.437667856715110E+6	2.623605242553094E+6
