Device:
    Device: SA40060G.20190606
    Instrument: PPMS2
    Computer: LLABWORKSTATION
    User: Aaron Greenberg
    Description: Thermal Decay of Nanowires

Wiring:
    Electrode 1: Lockin 1, I+, KH 1: Differential, 1x, 50k Ohms
    Electrode 2: Lockin 2, V1+, KH 2: SE+ (-gnd), 10x, Open
    Electrode 3: Lockin 3, V1-, KH 3: SE+ (-gnd), 10x, Open
    Electrode 4: Lockin 4, I-, KH 4: Differential, 10x, 50k Ohms
    Electrode 5: Lockin 5, , KH 5: Ground, 10x, Open
    Electrode 27: Lockin 7, , KH 7: Ground, 10x, Open
    Electrode 28: Lockin 8, , KH 8: Ground, 10x, Open
    Electrode 1: Vbg
	
Experiment: 
    290k test
    

Lockin: 
    AO 1: amp = 5.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 2: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 3: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 4: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 5: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 6: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 7: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 8: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
	
    Lockin 1: f = 13.00 Hz, phi = 0.00° 
    Lockin 2: f = 26.00 Hz, phi = 0.00° 
	
    TC = 300.00 ms, order = 2

    Fs = 6500.00 S/s, N = 500 S
					
time (s)	Temperature (mK)	Bfield (T)	X1	Y1	R2T	X2	Y2	R4T
3.643026349542153E+9	309.300700000000010E+0	-1.479864772409201E-6	-4.612198883315030E-3	-1.081884277007253E-3	35.914026628035896E-3	-6.299314352860653E-3	9.817522685800264E-3	-1.748575910799507E-3	4.364295267966190E-3	-590.993600041565320E-6	-165.161363823003120E-9	-784.229664158416740E-9	400.458594346545220E-9	-301.810579323625730E-9	-1.243228488958169E-6	5.578794717702419E-6	-923.640371663289320E-9	539.897344434865460E-9	412.836464393526660E-9	2.050973948447231E-6	2.542790276083936E-6	11.741365470035293E-6	616.306915735851220E-9	8.199688450149811E-6	-679.685012871798370E-9	1.296022578299682E-6	115.322309689291340E-9	-540.932409642204410E-9	525.108790414397610E-9	-375.160221821673880E-9	328.442698821373660E-9	597.992951652721880E-9	-314.680516449282130E-9	1.204441952637304E-6	1.145660339872022E+0	5.979545915186644E+0
3.643026352409902E+9	309.177700000000020E+0	-1.479864772409201E-6	-4.599435616486177E-3	-1.085587713281075E-3	35.944906981083893E-3	-6.315070874927892E-3	9.834127985600636E-3	-1.756052234318407E-3	4.363498697903371E-3	-591.922701686746840E-6	-311.775649616527750E-9	71.266268656685775E-9	175.970740903558040E-9	-554.857756663059980E-9	1.862146363146335E-6	4.912359940523901E-6	220.763668508066180E-9	-1.304711117547559E-6	2.374769665457309E-6	-779.615799060765030E-9	7.891526208247375E-6	-3.304112090304504E-6	5.732830650324162E-6	-1.857271006306424E-6	1.433269046487247E-6	-366.734041110532450E-9	206.750084782224610E-9	-143.835822190462720E-9	12.293744461895470E-9	-2.822647473181908E-9	972.417710014656290E-9	173.755767341411250E-9	712.469873072569270E-9	277.491777059040440E-9	1.145869483678880E+0	5.983908969201549E+0
3.643026355824741E+9	309.101000000000000E+0	-1.479864772409201E-6	-4.599477007923374E-3	-1.078679208606021E-3	35.938852925409298E-3	-6.289875605277411E-3	9.822521772713354E-3	-1.736033554494930E-3	4.356814403296875E-3	-587.555555331449140E-6	558.818792387327770E-9	469.986097408184980E-9	360.347278177288600E-9	-720.761946398928560E-9	51.181458898385564E-9	8.013645359424130E-6	-558.524827128420350E-9	-738.561222143667220E-9	-93.337258348728818E-9	-2.658843616379765E-6	958.727632678511190E-9	-8.597031105728923E-6	772.771570623432480E-9	-5.869743251409692E-6	-481.152067101004790E-9	-1.242943298718591E-6	158.553484356122390E-9	193.751743216948210E-9	-185.411542475408730E-9	-873.394030734468220E-9	512.361456170303920E-9	-1.154516871456889E-6	-489.697692295215590E-9	594.226637304358870E-9	1.147627495037754E+0	5.994363940068983E+0
3.643026358779446E+9	309.025199999999980E+0	-1.479864772409201E-6	-4.592686628520165E-3	-1.083600355353523E-3	35.951775144556650E-3	-6.320910282922079E-3	9.829125918660388E-3	-1.755599419877436E-3	4.355860027159250E-3	-590.917192824753070E-6	-148.058434902284990E-9	-69.518840864608408E-9	750.038250660620860E-9	-28.175724787748028E-9	2.874014655930194E-6	5.137474725827207E-6	338.598626610457570E-9	-346.464565944292010E-9	1.137874512882927E-6	-717.941145181549560E-9	9.595787571894530E-6	-3.651720971442166E-6	6.744246134050974E-6	-2.191660180512453E-6	644.496429955506530E-9	-1.184867709866469E-6	-176.620858468904940E-9	-237.080527356878550E-9	-166.023551602840170E-9	-474.549875747026940E-9	2.022376223139279E-6	-456.527112347941160E-9	-50.061122420288980E-9	-439.179253808868270E-9	1.147878942120378E+0	5.997127791760701E+0
3.643026361731169E+9	308.949999999999990E+0	-1.479864772409201E-6	-4.593805477444709E-3	-1.079144445452318E-3	35.936257313425965E-3	-6.303465841112747E-3	9.809846461481666E-3	-1.737787562224565E-3	4.348220951814138E-3	-588.250303584612220E-6	330.250511548271760E-9	144.628248830171530E-9	-412.657081325040890E-9	228.269452744664530E-9	-1.355438578347581E-6	8.146239139311624E-6	1.196013488484660E-6	-738.515512587582890E-9	1.787870207476284E-6	-405.306906282261420E-9	7.975439366139620E-6	-3.025355846175610E-6	6.903171478925454E-6	-2.725030208136402E-6	431.650256504815970E-9	-830.754737126211490E-9	-283.147486571602160E-9	124.027958736961980E-9	61.210226438072512E-9	-874.031151277344470E-9	875.205453513018720E-9	197.306229921550180E-9	-281.812560574865730E-9	-212.898021247194130E-9	1.149895567729586E+0	6.008528807866583E+0
3.643026365348440E+9	308.887699999999990E+0	-1.479864772409201E-6	-4.583526689052892E-3	-1.085072215761073E-3	35.966224070181962E-3	-6.327180828385548E-3	9.823910069771652E-3	-1.753601286561857E-3	4.348375209807531E-3	-589.662790581105160E-6	-374.017584504242400E-9	31.278734423381133E-9	-590.773365920959940E-9	419.000243174858960E-9	2.903811391665255E-6	6.110636546255983E-6	450.802915773847100E-9	359.969972684667760E-9	1.689919811852238E-6	1.625458180474313E-6	11.388990008735339E-6	6.479574070021203E-6	7.229462076704231E-6	4.511181812892684E-6	1.085614437214305E-6	506.473957963300940E-9	83.864979893710491E-9	172.296085154871810E-9	-293.835301124447500E-9	-248.267115754793970E-9	999.945361180966540E-9	1.477664372025271E-6	-442.984215000384030E-9	662.238290141309100E-9	1.149854775347529E+0	6.011972918401269E+0
3.643026368258511E+9	308.842300000000020E+0	-1.479864772409201E-6	-4.583696717847117E-3	-1.086512005826207E-3	35.953325039076001E-3	-6.340013818091044E-3	9.811059303345250E-3	-1.760602033463606E-3	4.343257595415443E-3	-590.712491660003360E-6	-409.450791664572910E-9	144.463227690850680E-9	-852.745774267756040E-9	-393.694928459297540E-9	1.728980388351656E-6	3.892589065765977E-6	367.407241895444770E-9	671.839079368782960E-9	-1.406226163699960E-6	-697.177708917618320E-9	-7.097269262479576E-6	-5.886403034881820E-6	-4.551690458387724E-6	-3.505044976051040E-6	-820.962620929827650E-9	-24.623377551338896E-9	83.381064053917172E-9	18.693121658817283E-9	873.875631669782430E-9	257.717482352954850E-9	-305.234326346592870E-9	-1.421897622022656E-6	-398.345842889085140E-9	-383.364417195464810E-9	1.151209637042433E+0	6.019045649819483E+0
3.643026370644515E+9	308.792599999999990E+0	-1.479864772409201E-6	-4.577803413418264E-3	-1.080073617349863E-3	35.969717299564483E-3	-6.312814455215753E-3	9.817731984416185E-3	-1.740904532258512E-3	4.339619821598309E-3	-586.834820484847330E-6	208.520237809797810E-9	-503.502313603384610E-9	-952.691957004070890E-9	343.277367745417180E-9	2.302804518367860E-6	8.374277096413094E-6	-1.914783678633283E-6	1.378264130897123E-6	-2.644152667628978E-6	283.174928876255690E-9	-7.698997546595162E-6	1.601522136909665E-6	-5.518743247563568E-6	1.792252417311868E-6	-1.504334879114317E-6	168.499094605518340E-9	-406.982562135856870E-9	-476.358210163359600E-9	164.500784855612290E-9	618.504034189211290E-9	-824.535053483361570E-9	-64.378441895052218E-9	-861.408488070577120E-9	771.848678671640840E-9	1.152174661733034E+0	6.026330966825652E+0
3.643026373788044E+9	308.739199999999980E+0	-1.479864772409201E-6	-4.578457456706091E-3	-1.086876438270218E-3	35.955434155796669E-3	-6.343721697391154E-3	9.803799638665888E-3	-1.757323854575496E-3	4.334886674783284E-3	-589.450045710861030E-6	133.404656420461690E-9	-312.467850997839620E-9	-1.035751041878030E-6	-429.848309438204300E-9	126.241036747762750E-9	4.671035665580615E-6	218.223787548351080E-9	-179.070162143975490E-9	-808.847063916003590E-9	-1.929083400464822E-6	-6.801429122369335E-6	-4.511416477314269E-6	-3.632458716728973E-6	-2.181662730923250E-6	-1.127598355196277E-6	-633.268302930964740E-9	-135.475552586838120E-9	-40.944220388397220E-9	953.571971482579480E-9	-1.097062141888419E-6	-1.556799925153829E-6	-1.075782158204989E-6	339.167493665020600E-9	37.132119684904620E-9	1.153432690428976E+0	6.032830032041886E+0
3.643026376768429E+9	308.686199999999980E+0	-1.479864772409201E-6	-4.568554166710687E-3	-1.082856760352089E-3	35.982963457753113E-3	-6.329504273505683E-3	9.815408379502026E-3	-1.746968096738215E-3	4.334846712045575E-3	-587.550838761079960E-6	-128.027492915558330E-9	16.294249214809647E-9	240.636490122220070E-9	-500.746657936500360E-9	3.024175046057313E-6	7.398755910051126E-6	-19.786198299174535E-9	576.017820648218250E-9	-2.127161948591687E-6	-245.653120380891730E-9	-5.639562385210003E-6	3.935093123278466E-6	-3.763370801581821E-6	3.100361291553576E-6	-897.144815699000380E-9	440.926624020062030E-9	155.167731284706940E-9	-64.575882566613615E-9	-41.457324765668341E-9	-302.459167696945240E-9	-689.663016295690980E-9	617.556623463050480E-9	-76.054980383576549E-9	59.729313297273732E-9	1.153443323867972E+0	6.036558341391236E+0
