Device:
    Device: SA40060G.20190611
    Instrument: PPMS2
    Computer: LLABWORKSTATION
    User: Aaron Greenberg
    Description: Thermal Decay of Nanowires Temp Sweep

Wiring:
    Electrode 1: Lockin 1, I+, KH 1: Differential, 1x, 50k Ohms
    Electrode 2: Lockin 2, V1+, KH 2: SE+ (-gnd), 10x, Open
    Electrode 3: Lockin 3, V1-, KH 3: SE+ (-gnd), 10x, Open
    Electrode 4: Lockin 4, I-, KH 4: Differential, 10x, 50k Ohms
    Electrode 5: Lockin 5, , KH 5: Ground, 10x, Open
    Electrode 27: Lockin 7, , KH 7: Ground, 10x, Open
    Electrode 28: Lockin 8, , KH 8: Ground, 10x, Open
    Electrode 1: Vbg
	
Experiment: 
    300K to 10K

Lockin: 
    AO 1: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 2: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 3: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 4: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 5: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 6: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 7: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 8: amp = 5.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
	
    Lockin 1: f = 13.00 Hz, phi = 0.00° 
    Lockin 2: f = 26.00 Hz, phi = 0.00° 
	
    TC = 300.00 ms, order = 2

    Fs = 6500.00 S/s, N = 500 S
					
time (s)	Temperature (mK)	Bfield (T)	X1	Y1	R2T	X2	Y2	R4T
3.643206339144136E+9	288.100799999999990E+0	-1.479864772409201E-6	14.944973504339449E-3	-18.200474981815339E-3	895.417846867970520E-9	-3.833630515263610E-6	861.351137111374340E-6	-1.788094003027312E-3	77.381700103615716E-6	-68.160779852596289E-6	5.984465456999999E-6	-13.593454585326022E-6	-70.297871742688712E-9	35.853183577649344E-9	-97.998753560770228E-9	33.751794671819097E-9	-817.100778398666670E-6	-1.007314969080156E-3	-26.492099211184037E-6	11.011157471433024E-6	-273.234734204712020E-9	211.342571563181080E-9	-18.025309419860832E-6	16.760921579715141E-6	-718.963620709449150E-9	521.581111827241490E-9	470.961136236123530E-9	-317.835912004866720E-9	-359.903281920341670E-9	108.747287019618360E-9	382.272041457174640E-9	484.892699382475290E-9	-922.932427176269760E-9	-1.277978336623516E-6	64.614760250871924E+0	182.001976544451850E+0
3.643206341098149E+9	287.915900000000020E+0	-1.479864772409201E-6	14.931205959134134E-3	-18.211495361797468E-3	334.270038786154700E-9	-5.067950926744081E-6	845.541688800566170E-6	-1.793318011437570E-3	77.150535692385285E-6	-68.043601649934746E-6	5.576088659885561E-6	-14.057087337345998E-6	1.374385074977084E-6	-832.553443968467800E-9	349.169736715618900E-9	455.606053921578110E-9	-815.498281743032550E-6	-1.008952298727420E-3	-3.134341204538037E-6	14.574185693959110E-6	-1.098105270438488E-6	-45.800552677383349E-9	1.488466557041797E-6	21.459624993314933E-6	-334.760122283482740E-9	458.848272824716320E-9	23.649101075469823E-9	21.795543908827255E-9	245.069907940291210E-9	296.882973406517030E-9	-149.914310371143200E-9	491.691385314548310E-9	-287.194023387199360E-9	393.566784754805280E-9	64.808364000685700E+0	182.573771444646160E+0
3.643206343192702E+9	287.676699999999980E+0	-1.479864772409201E-6	14.859609739725914E-3	-18.102598568642193E-3	222.882849207468740E-9	-4.192265960585323E-6	775.315341396599300E-6	-1.702072919652261E-3	76.400752134505272E-6	-65.576108484602334E-6	6.135346377148196E-6	-13.400770112699634E-6	711.248844986136730E-9	46.542962043712058E-9	-219.247033368917570E-9	-491.558182966233370E-9	-819.477468411098420E-6	-1.006731014090383E-3	-4.425980282071524E-6	6.315742657379687E-6	274.002106024058870E-9	-189.477460178135080E-9	902.703144283034180E-9	8.751272923745998E-6	514.492024965791390E-9	239.578870838288720E-9	597.096503476879010E-9	426.760073556772220E-9	-293.488654543679110E-9	289.318342944752090E-9	-313.608387411370380E-9	-184.578223073940880E-9	-381.206879548578740E-9	369.293527618459920E-9	65.444381898196312E+0	184.347588274178150E+0
3.643206345570819E+9	287.448300000000020E+0	-1.479864772409201E-6	14.766842334268046E-3	-18.141171223184361E-3	565.465893121538510E-9	-4.375827564571171E-6	742.931273980918420E-6	-1.763157500497466E-3	76.292678050679942E-6	-66.860927655068830E-6	5.059141820276684E-6	-13.526138001753334E-6	-365.712622120297840E-9	394.704719895195110E-9	343.932318559866780E-9	52.811289958997698E-9	-820.336433466674950E-6	-1.006981106250881E-3	-28.289377273471347E-6	-11.183203616231089E-6	197.215946910679770E-9	560.125401777741600E-9	-20.322862818503764E-6	-10.606274448388650E-6	-288.174774275329830E-9	-545.344852991073500E-9	-30.046416355619970E-9	93.013144248593072E-9	330.306270576287410E-9	-228.488884011489740E-9	-182.569924764155630E-9	67.904449247438518E-9	-1.347925515635253E-6	-1.915721981622495E-6	65.537088587696246E+0	183.817260300802130E+0
3.643206347828649E+9	287.230700000000010E+0	-1.479864772409201E-6	14.816008051712981E-3	-18.197722553283842E-3	67.315200034223508E-9	-4.726688387251686E-6	813.920136179485210E-6	-1.800852551051903E-3	77.151637613433346E-6	-68.066691987054106E-6	5.513617440244406E-6	-13.302912793755109E-6	571.353069346862910E-9	74.707328825171669E-9	-468.675149823267180E-9	50.010053337732784E-9	-816.056579374815060E-6	-1.008243613016286E-3	12.643166601675056E-6	-6.730938954772338E-6	-23.306785905214756E-9	186.674806273495800E-9	18.401829669724614E-6	-276.045999077692590E-9	379.225475333990110E-9	445.253675244424420E-9	360.993149294527430E-9	-653.503916068884200E-9	224.382511552626900E-9	-521.644915018183140E-9	-152.273696735484890E-9	-218.974692190104460E-9	339.794800588920990E-9	559.486937687832410E-9	64.807438372888399E+0	181.487889935540490E+0
3.643206350049033E+9	287.016099999999990E+0	-1.479864772409201E-6	14.817632877042106E-3	-18.059554294495232E-3	726.066114618245670E-9	-4.255809489305500E-6	826.333978117264540E-6	-1.701381346456357E-3	78.263981840444416E-6	-65.970949503570258E-6	5.317212509063558E-6	-13.342482767302446E-6	314.349028079046620E-9	1.477074898063285E-6	-148.112570507573030E-9	-48.172311920954868E-9	-815.787954270905890E-6	-1.003925056557819E-3	4.967057349187416E-6	-11.993470701746726E-6	-104.169777508788470E-9	-170.829505815704090E-9	8.542792775538600E-6	-4.979102470173094E-6	-427.110460085702420E-9	-733.153908415257920E-9	-526.892342098656520E-9	-738.667882566268400E-9	300.512121386987070E-9	16.615691492172778E-9	42.225553913123530E-9	115.302657110083420E-9	1.440319798659036E-6	865.578953374907380E-9	63.886348259067930E+0	178.770598810685210E+0
3.643206351874077E+9	286.825499999999980E+0	-1.479864772409201E-6	14.701599915673748E-3	-18.089892650194367E-3	202.328900420615410E-9	-3.944052337776494E-6	755.042791561972910E-6	-1.743675402949050E-3	76.103338180044989E-6	-67.984133909791531E-6	5.208091680206926E-6	-13.418331156107244E-6	-414.870553948357260E-9	289.578451722347390E-9	-445.901320352985850E-9	-130.174083928502930E-9	-816.087581367617090E-6	-1.005459039967944E-3	-29.003194207806121E-6	9.043595460564877E-6	84.778091236758526E-9	-761.487728617652290E-9	-17.851681952963059E-6	13.486862527546066E-6	-786.838520714147770E-9	402.103185952932120E-9	711.634010415401280E-9	-161.862417999073030E-9	-597.101365302772500E-9	188.794931776665740E-9	-40.071272612414273E-9	-63.416344056623776E-9	-1.553518654618332E-6	-1.059225222719309E-6	65.700140356143365E+0	183.258152107822950E+0
3.643206353981574E+9	286.617500000000010E+0	-1.479864772409201E-6	14.734221975229571E-3	-18.155256270520819E-3	117.743748835130490E-9	-4.049954106609357E-6	817.121671292487280E-6	-1.790760230962043E-3	76.714679989306058E-6	-68.170091990160355E-6	4.792623594895771E-6	-13.051708250623286E-6	582.730860475923860E-9	-1.173903522915211E-6	279.417795963542480E-9	7.240268180686747E-9	-813.200317078339860E-6	-1.005959768017194E-3	10.971066168760899E-6	-3.196467169845264E-6	-420.106523609204050E-9	669.301326689515560E-9	17.371139442175817E-6	2.643966532048699E-6	205.947976454698120E-9	186.710421692074040E-9	432.472528219355240E-9	-336.237031203344580E-9	-702.176922524892090E-9	-184.354984044686100E-9	-256.678915206987560E-9	95.692819072951269E-9	1.140109209758774E-6	908.149676518628990E-9	65.176573775671031E+0	181.413782940593790E+0
3.643206355980180E+9	286.409800000000020E+0	-1.479864772409201E-6	14.731862950009750E-3	-18.030859604637225E-3	1.133384026662422E-6	-4.729611289496093E-6	815.062910582809540E-6	-1.696839899337003E-3	77.610578382941839E-6	-65.604969728882227E-6	5.419388840914774E-6	-13.482741401364281E-6	-99.664466818235039E-9	181.180720353803360E-9	81.496257280894359E-9	238.943279110901000E-9	-815.262106001201060E-6	-1.002275510658153E-3	17.103187498537308E-6	-26.174002075341489E-6	664.946645724661340E-9	-7.226582974502746E-9	27.467969787541368E-6	-14.718921429861353E-6	871.260617232212810E-9	-124.591933256441160E-9	121.304752812677410E-9	-892.467365848867220E-9	77.416567552305426E-9	-631.552164367850450E-9	-335.366199658651120E-9	317.939522220454580E-9	1.854699869435028E-6	-459.318538632287970E-9	64.424207423494195E+0	179.315762482266710E+0
3.643206358069037E+9	286.192500000000000E+0	-1.479864772409201E-6	14.618347655663548E-3	-18.008039765252219E-3	490.196228343703800E-9	-4.971009973667250E-6	750.932340134510450E-6	-1.693337768368612E-3	76.030743946433051E-6	-66.207866544531184E-6	5.320226463725935E-6	-14.090585865025327E-6	1.534312263484564E-6	-383.793577070128010E-9	-255.769136594268740E-9	-74.796037442873948E-9	-816.857307898628950E-6	-1.003788002388014E-3	-6.367810899637183E-6	8.724923975936400E-6	530.843747548477600E-9	-230.207132864517790E-9	1.673665394582521E-6	11.293257142417787E-6	16.140399168050485E-9	69.115300473557721E-9	-158.083230613113400E-9	-549.282840524091250E-9	1.080973189304340E-6	486.708712901660520E-9	173.033088320869620E-9	-112.178555323910850E-9	-243.762142743059440E-9	431.743268642496540E-9	65.762870918673585E+0	182.392208674154660E+0
