Device:
    Device: SA40060G.20190611
    Instrument: PPMS2
    Computer: LLABWORKSTATION
    User: Aaron Greenberg
    Description: Thermal Decay of Nanowires Temp Sweep

Wiring:
    Electrode 1: Lockin 1, I+, KH 1: Differential, 1x, 50k Ohms
    Electrode 2: Lockin 2, V1+, KH 2: SE+ (-gnd), 10x, Open
    Electrode 3: Lockin 3, V1-, KH 3: SE+ (-gnd), 10x, Open
    Electrode 4: Lockin 4, I-, KH 4: Differential, 10x, 50k Ohms
    Electrode 5: Lockin 5, , KH 5: Ground, 10x, Open
    Electrode 27: Lockin 7, , KH 7: Ground, 10x, Open
    Electrode 28: Lockin 8, , KH 8: Ground, 10x, Open
    Electrode 1: Vbg
	
Experiment: 
    300K to 10K

Lockin: 
    AO 1: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 2: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 3: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 4: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 5: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 6: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 7: amp = 0.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
    AO 8: amp = 5.000 mV, DC = 0.000 mV, f = 13.00 Hz, phi = 0.00°, Sine
	
    Lockin 1: f = 13.00 Hz, phi = 0.00° 
    Lockin 2: f = 26.00 Hz, phi = 0.00° 
	
    TC = 300.00 ms, order = 2

    Fs = 6500.00 S/s, N = 500 S
					
time (s)	Temperature (mK)	Bfield (T)	X1	Y1	R2T	X2	Y2	R4T
3.643207372674192E+9	159.156900000000010E+0	-1.479864772409201E-6	2.184318951799485E-3	-1.076382656688241E-3	91.920295876344671E-9	512.556929564315700E-9	204.256878453297530E-6	-496.699584713730420E-6	138.649263414373830E-6	-9.571330543168871E-6	1.081001316385105E-6	297.384251977567340E-9	-564.811340674864850E-9	-420.978180187686640E-9	-806.025016018466060E-9	-67.612483512767834E-9	-238.602551288833810E-6	-799.514462148467260E-6	35.161884152286823E-6	-7.838769177207738E-6	349.097039266751770E-9	-406.241324663602090E-9	31.304668953859073E-6	-8.673155712486963E-6	-3.613416403474938E-9	-440.703720307999990E-9	86.208058559113252E-9	581.422540145322030E-9	-479.261928588650710E-9	-60.792521706896590E-9	-383.076945878276920E-9	-443.750968332947060E-9	1.100506727395155E-6	3.082053984283726E-6	36.062218268385315E+0	14.281086134792362E+0
3.643207375339515E+9	158.931000000000010E+0	-1.479864772409201E-6	2.213217075358860E-3	-1.069657850894433E-3	1.127843176344551E-6	-3.784037239085275E-6	241.987636755816950E-6	-520.930913220387620E-6	138.487698087663540E-6	-9.837790238478052E-6	-294.721190170184920E-9	48.352064814078114E-9	-70.435178264804276E-9	-367.788401716204270E-9	-398.361956959337790E-9	161.519680336223970E-9	-235.902014420447520E-6	-797.967953480273160E-6	9.531953246782288E-6	-514.560140604733510E-9	365.429385239034710E-9	430.336164741481980E-9	12.963443231872538E-6	8.585167156094122E-6	-554.279439730384750E-9	-1.097512155710680E-6	-242.242886976909210E-9	100.483760784811310E-9	360.477333777963470E-9	-397.875317267336010E-9	-247.358972080918370E-9	185.906986637433800E-9	105.642786116149080E-9	1.655004171070002E-6	36.104289904760854E+0	14.233967824024651E+0
3.643207377423530E+9	158.721300000000010E+0	-1.479864772409201E-6	2.287298127557275E-3	-1.015695199317052E-3	304.630860840837160E-9	-488.482244519347170E-9	303.451635287045890E-6	-457.247275909671770E-6	137.961712731170440E-6	-9.768553310764921E-6	26.560893289180024E-9	-680.821753441228390E-9	568.108298395928970E-9	-850.789907041997680E-9	22.789333394722161E-9	-217.167965717307240E-9	-237.603674781889490E-6	-797.125360081969220E-6	-13.739659734438629E-6	-3.373653440110141E-6	22.571365890599178E-9	1.250990290370956E-6	-16.234478524527672E-6	-2.125421205347760E-6	616.868516879863110E-9	-1.722370812369259E-6	-405.377463811465350E-9	-95.345893181156876E-9	-676.065048524097320E-9	-231.565752537374640E-9	-325.311465818214310E-9	127.159283892148250E-9	-211.538981389344320E-9	-927.380345874791450E-9	36.241939165708274E+0	14.379688777392278E+0
3.643207379571990E+9	158.468300000000000E+0	-1.479864772409201E-6	2.162006071453474E-3	-993.567616970104230E-6	-818.747993633711960E-9	571.171338703646720E-9	182.892742167368210E-6	-441.510240334545770E-6	137.075531969803530E-6	-9.292877917944700E-6	27.819649964700164E-9	-977.148086285699850E-9	341.843318013877170E-9	626.153296784028230E-9	433.569669936609970E-9	122.371333457575660E-9	-236.228275056803590E-6	-798.989806841947260E-6	-9.902462176259740E-6	-11.496578878226910E-6	-768.979709883055830E-9	-198.092013663185920E-9	-12.487455335731338E-6	-9.255783145200401E-6	-664.718539650976460E-9	-1.200641389400318E-6	977.348055171455230E-9	387.386066093918700E-9	128.216708450339350E-9	-476.589619148981880E-9	-44.658684938195664E-9	-214.544954610245320E-9	805.411701773327890E-9	1.155335926710109E-6	36.476239983525680E+0	14.438122550726893E+0
3.643207381878669E+9	158.272899999999990E+0	-1.479864772409201E-6	2.183885904772141E-3	-1.022849339985103E-3	-467.675850418212830E-9	-596.088403481415270E-9	176.241152973231440E-6	-462.857176423505530E-6	137.566374551988700E-6	-9.667344393221629E-6	-67.669113501203697E-9	-8.516641277257269E-9	758.147910440313810E-9	396.937008804205640E-9	-115.328224601523650E-9	146.779099485262860E-9	-234.100921711461520E-6	-798.708497850329830E-6	-17.754803168884254E-6	-7.110435160913287E-6	1.600001290511185E-6	1.150522180914140E-6	-30.669963566218671E-6	10.440208064027729E-6	78.180219876869262E-9	-1.001577828342365E-6	645.042659658167600E-9	37.412099072888594E-9	-8.319863005628548E-9	777.908491159926060E-9	59.012888133150678E-9	-54.253009883226330E-9	927.345503676866250E-9	24.957857557275514E-9	36.346091232566529E+0	14.594007862293310E+0
3.643207383895896E+9	158.024300000000010E+0	-1.479864772409201E-6	2.214406098171360E-3	-1.046185431131954E-3	-1.636863299026333E-6	-1.418962688266453E-6	231.684462606102450E-6	-500.614884732815680E-6	136.095572239884470E-6	-9.037827094351372E-6	-34.560286837213286E-9	-725.239020778767860E-9	-79.102777678732796E-9	-405.683191341513410E-9	-506.701314481985210E-9	-146.414910950890800E-9	-233.837510022362480E-6	-798.501590566435130E-6	19.570183501632178E-6	8.771557062708807E-6	-193.784228437664030E-9	-352.579447136486980E-9	22.213280969067395E-6	6.892734900510242E-6	-622.326780086163380E-9	-1.296940917124926E-6	-5.682922122228432E-9	-432.514970500113060E-9	125.293942498584410E-9	-635.421898827739770E-9	342.275665210494960E-9	597.287250350545430E-9	448.880388045438250E-9	2.291530848540853E-6	36.738888104213352E+0	14.568597662166976E+0
3.643207386033807E+9	157.812700000000010E+0	-1.479864772409201E-6	2.281274042032573E-3	-971.525249058564240E-6	2.336248862857380E-6	2.169764967309029E-6	298.823448859999990E-6	-442.539230644388230E-6	135.174854037741950E-6	-9.404300200278303E-6	-14.503947148005619E-9	323.710033307753640E-9	177.196313792057770E-9	-483.474094688301150E-9	-190.297255703661820E-9	-358.782093759431010E-9	-233.736769651576050E-6	-797.326268411597860E-6	-10.811878625662058E-6	-8.159230974761386E-6	-64.448157063438727E-9	628.791774436522170E-9	-12.196442379000343E-6	-8.606647773629360E-6	-220.358754665886990E-9	-1.206291904655000E-6	-163.006213673691050E-9	499.987551034695030E-9	778.787890525045100E-9	-383.555835091612130E-9	118.994500181780100E-9	-77.518179199415293E-9	-476.660387039614150E-9	412.341815434549470E-9	36.989128159916177E+0	14.665823812312427E+0
3.643207388127949E+9	157.569999999999990E+0	-1.479864772409201E-6	2.245295547239973E-3	-907.085826799459480E-6	-2.198385760987121E-6	-909.621554644533190E-9	261.821734251071160E-6	-391.595083487365790E-6	135.473638525340020E-6	-9.194646855526942E-6	-188.910255228878560E-9	-951.386918715372040E-9	-733.784958553352260E-9	-202.355096345602930E-9	-177.524654321749000E-9	-78.578111710653902E-9	-233.772623986105390E-6	-798.267833935606410E-6	15.412088000928245E-6	6.651141979944760E-6	-1.504333602789473E-6	640.633605756104480E-9	13.426816664281166E-6	6.828885956817407E-6	-926.014998478344270E-9	-904.296154179512530E-9	69.084427599441841E-9	-401.460869400188050E-9	-85.843624446238963E-9	-909.040713959707060E-9	-280.793786159796030E-9	-243.829843988960190E-9	367.979326370855150E-9	1.272939574964377E-6	36.907549353705164E+0	14.641031528933931E+0
3.643207390437176E+9	157.319199999999990E+0	-1.479864772409201E-6	2.217138737743376E-3	-1.015928542477193E-3	-1.126924808385940E-6	-657.465550605294010E-9	235.858096029306720E-6	-498.944861497780850E-6	134.360044004708870E-6	-9.784256458821876E-6	-161.478464720892220E-9	-40.939332858877605E-9	-1.637781993968001E-6	-860.976799412543700E-9	-3.373009285290757E-9	306.505199847852780E-9	-230.182621675361310E-6	-798.741139835563540E-6	11.338465709631624E-6	21.999377735624776E-6	789.055951944630600E-9	-1.628298125316201E-6	10.088053900035608E-6	20.588150165868960E-6	85.787683411171420E-9	-1.394695449046690E-6	-449.564138733954190E-9	305.652606602253520E-9	-210.321024249854150E-9	-1.104792088256485E-6	70.585882680708727E-9	517.483016897964860E-9	-54.271011653871024E-9	2.066348216155917E-6	37.213444197925142E+0	14.746055320171166E+0
3.643207392594681E+9	157.123099999999990E+0	-1.479864772409201E-6	2.204884429629080E-3	-1.017947503999344E-3	-1.046693350447349E-6	803.816221002630680E-9	222.696480646739030E-6	-504.092221012696360E-6	133.873466250984260E-6	-8.754513366486094E-6	-307.761753021851870E-9	130.415787651895740E-9	701.338232283269790E-9	621.810965014851330E-9	443.083537197489580E-9	-497.270978293488820E-9	-228.193636057265330E-6	-798.484679929713360E-6	16.034877537899733E-6	8.666898499157471E-6	-399.910174326272200E-9	-248.821030864420530E-9	16.663314170720831E-6	10.778687345889429E-6	-98.249936715226219E-9	-1.320794358873360E-6	-316.196193837660100E-9	-396.155018607923070E-9	489.610348596762660E-9	116.852075614871710E-9	237.125889809207070E-9	-107.202751692057940E-9	-739.999098301604100E-9	1.964391310737610E-6	37.348700530589568E+0	14.806428820377002E+0
3.643207394675967E+9	156.911300000000010E+0	-1.479864772409201E-6	2.277365495603533E-3	-923.688442474529660E-6	-97.947421363278179E-9	-446.520384152801010E-9	296.161935566303110E-6	-423.874432350217720E-6	132.763711166116490E-6	-9.188635354710876E-6	102.861501505246630E-9	-724.428405629787860E-9	-102.510003771483650E-9	-2.504687724933344E-6	-33.209885647887068E-9	457.602958323563520E-9	-228.710168047549420E-6	-798.667481812353230E-6	670.278530245019110E-9	-2.605637582097700E-6	-501.327563007020640E-9	775.186781301933490E-9	-1.692867473138980E-6	-1.334723690037051E-6	-249.534260469003020E-9	-1.183498603385530E-6	69.303202104022568E-9	478.951120731464010E-9	780.172813115942310E-9	-965.984388426862100E-9	-246.575268194215880E-9	16.588725316006237E-9	586.175825060608030E-9	1.226995390511987E-6	37.660893598732748E+0	14.922779294398531E+0
3.643207396595768E+9	156.716299999999990E+0	-1.479864772409201E-6	2.182778871596995E-3	-876.928010948565530E-6	1.563098356092430E-6	-345.370480116285730E-9	203.616941785387000E-6	-387.214630051633030E-6	133.136500337333390E-6	-9.471004138502827E-6	829.405462463683690E-9	-1.000239141173748E-6	282.116289852698460E-9	-646.256042130766910E-9	-247.694548797906730E-9	-85.698211395750338E-9	-228.558575545738630E-6	-798.769727231707640E-6	742.600636553608640E-9	10.416248717620953E-6	-2.553623664490623E-6	16.508273079077579E-9	-348.533126611711120E-9	11.497704904261576E-6	-783.472265506779470E-9	-1.185340384765245E-6	684.582346283143100E-9	-180.749713231144720E-9	-159.544936149258850E-9	-143.319193357075210E-9	-276.521752454175410E-9	194.469691460256140E-9	398.344193664763130E-9	1.399526532545920E-6	37.555441124945418E+0	14.865659866354644E+0
